ESS112, ENVIRONM & SUSTAIBTY STUDIES 112, Y, EMS, 100115, L, CFA, 050, 050, S, B, Intermediate Undergraduate, 1, 20111219, 150550, CBENJAMIN, X, X, X, , 
GOV132, SA POLITICS & GOVERNMENT 132, Y, EMS, 100115, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20110818, 123856, VMORTA, X, X, , , 
POL131, POLITICAL STUDIES 131, Y, EMS, 100115, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 1, 20110818, 123856, MENGEL, X, X, , , 
POL211, POLITICAL STUDIES 211, Y, EMS, 100115, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20110818, 123856, JDEDONCKER, X, X, , , 
POL213, POLITICAL STUDIES 213, Y, EMS, 100115, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 2, 20110818, 123856, MENGEL, X, X, , , 
POL221, POLITICAL STUDIES 221, Y, EMS, 100115, L, CFA, 050, 050, S, B, Intermediate Undergraduate, 2, 20120604, 095913, VMORTA, X, X, X, , 
POL224, POLITICAL STUDIES 224, Y, EMS, 100115, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120604, 095843, VMORTA, X, X, X, , 
POL311, POLITICAL STUDIES 311, Y, EMS, 100115, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120628, 143638, CHOORN, M, X, X, , 
POL312, POLITICAL STUDIES 312, Y, EMS, 100115, L, CFA, 050, 050, S, B, Intermediate Undergraduate, 3, 20111020, 103905, NSTEVENS, X, X, X, , 
POL321, POLITICAL STUDIES 321, Y, EMS, 100115, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20110818, 123856, JDEDONCKER, X, X, , , 
POL322, POLITICAL STUDIES 322, Y, EMS, 100115, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 3, 20120629, 141418, CHOORN, M, X, X, , 
POL701, ADV RES METHODOLOGY (POL 701), Y, EMS, 100115, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, M, X, , , 
POL706, RESEARCH PROJECT (POL 706), Y, EMS, 100115, L, FA, 000, 000, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL708, COMPARATIVE AREA POLITICS (POL 708), Y, EMS, 100115, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL709, INTER POLITICAL ECONOMY (POL 709), Y, EMS, 100115, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL710, POLITICAL VIOLENCE (POL 710), Y, EMS, 100115, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20110818, 123856, CBENJAMIN, X, X, , , 
POL711, POLITICAL PHILOSOPHY (POL 711), Y, EMS, 100115, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, M, X, , , 
POL719, POLITICS IN SOUTH AFRICA 719, Y, EMS, 100115, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL722, ADV TOPICS IN COMP POLS (POL 722), Y, EMS, 100115, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120126, 152151, VMORTA, M, M, X, , 
POL723, CONTEMPORARY DEMOCRATIC THEORY 723, Y, EMS, 100115, L, CFA, 050, 050, S, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL730, INTERNATIONAL RELATIONS THEORY 730, Y, EMS, 100115, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, M, X, , , 
POL731, SECURITY STUDIES 731, Y, EMS, 100115, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20110818, 123856, MENGEL, X, X, , , 
POL801, POLITICAL SC MAGISTER THESIS 801, Y, EMS, 100115, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL802, POLITICAL SC MAGISTER THESIS 802, Y, EMS, 100115, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL803, POLITICAL SCIENCE MINI THESIS 803, Y, EMS, 100115, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL804, POL SC.MINI-THESIS 804, Y, EMS, 100115, H, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL811, ADVANCED RESEARCH METHODOLOGY 811, Y, EMS, 100115, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL813, COMPARATIVE AREA POLITICS (POL 813), Y, EMS, 100115, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL814, INTER POLITICS ECONOMY (POL 814), Y, EMS, 100115, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL815, POLITICAL VIOLENCE 815, Y, EMS, 100115, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL816, POLITICAL PHILOSOPHY (POL 816), Y, EMS, 100115, L, CFA, 000, 000, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL819, POLITICAL DEVELOPMENT IN SA 819, Y, EMS, 100115, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL822, CONT.DEM.THEORY SOC & DEM(POL 822), Y, EMS, 100115, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL835, CAPITA SELECTA 835, Y, EMS, 100115, L, FA, 000, 000, F, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, X, X, , , 
POL840, INTERNATIONAL RELATIONS THEORY 840, Y, EMS, 100115, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110818, 123856, MENGEL, M, X, , , 
POL841, POLITICAL ECONOMY OF DEVELOPMENT, Y, EMS, 100115, L, FA, 000, 000, S, F, Intermediate PG (Non research), 8, 20111219, 150611, CBENJAMIN, X, X, X, , 
POL842, THEORIES OF CITIZENSHIP & DEMOCRACY, Y, EMS, 100115, L, FA, 000, 000, F, F, Intermediate PG (Non research), 8, 20111219, 150651, CBENJAMIN, X, X, X, , 
POL901, POLITICAL SCIENCE DOCTORATE 901, Y, EMS, 100115, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20110818, 123856, MENGEL, X, X, , , 
POL902, POLITICAL SCIENCE DOCTORATE 902, Y, EMS, 100115, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20110818, 123856, MENGEL, X, X, , , 
AFN111, AFRIKAANS/NEDERLANDS STUDIES 111(N), Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 1, 20120703, 154542, CSCHROEDER, X, X, X, , 
AFN121, AFRIKAANS/NEDERLANDS STUDIES 121(N), Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20120703, 154542, CSCHROEDER, X, X, X, , 
AFR001, INTRODUCTION TO AFRIKAANS (CHS) 001, Y, ART, 100205, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 1, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR002, INTRODUCTION TO AFRIKAANS (SC), Y, ART, 100205, L, CFA, 000, 000, Y, B, Intermediate Undergraduate, 1, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR003, INTRODUCTION TO AFRIKAANS (BOH), Y, ART, 100205, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 1, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR004, INTRODUCTION TO AFRIKAANS (CHS) 004, Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20111220, 111144, NSTEVENS, X, X, X, , 
AFR101, AFRIKAANS LANG ACQUISITION 101, Y, ART, 100205, L, CFA, 050, 050, Y, B, Intermediate Undergraduate, 1, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR120, INTRODUCTION TO AFRIKAANS (DENT), Y, ART, 100205, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20111220, 111225, NSTEVENS, X, X, X, , 
AFR211, AFRIKAANS 211, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR212, AFRIKAANS 212, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20120702, 124436, CSCHROEDER, X, X, X, , 
AFR213, AFRIKAANS 213, Y, ART, 100205, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 2, 20120702, 124436, CSCHROEDER, X, X, X, , 
