2012, EMS, 100115, ESS112, ENVIRONM & SUSTAIBTY STUDIES 112, S2, , 
2012, EMS, 100115, GOV132, SA POLITICS & GOVERNMENT 132, S2, , 
2012, EMS, 100115, POL131, POLITICAL STUDIES 131, S1, , 
2012, EMS, 100115, POL211, POLITICAL STUDIES 211, T2, , 
2012, EMS, 100115, POL213, POLITICAL STUDIES 213, T1, , 
2012, EMS, 100115, POL221, POLITICAL STUDIES 221, T4, , 
2012, EMS, 100115, POL224, POLITICAL STUDIES 224, T3, , 
2012, EMS, 100115, POL311, POLITICAL STUDIES 311, T1, , 
2012, EMS, 100115, POL312, POLITICAL STUDIES 312, T4, , 
2012, EMS, 100115, POL321, POLITICAL STUDIES 321, T3, , 
2012, EMS, 100115, POL322, POLITICAL STUDIES 322, T2, , 
2012, EMS, 100115, POL701, ADV RES METHODOLOGY (POL 701), T1, , 
2012, EMS, 100115, POL706, RESEARCH PROJECT (POL 706), S1, , 
2012, EMS, 100115, POL708, COMPARATIVE AREA POLITICS (POL 708), S1, , 
2012, EMS, 100115, POL709, INTER POLITICAL ECONOMY (POL 709), T3, , 
2012, EMS, 100115, POL710, POLITICAL VIOLENCE (POL 710), T4, , 
2012, EMS, 100115, POL711, POLITICAL PHILOSOPHY (POL 711), S1, , 
2012, EMS, 100115, POL719, POLITICS IN SOUTH AFRICA 719, S1, , 
2012, EMS, 100115, POL722, ADV TOPICS IN COMP POLS (POL 722), S2, , 
2012, EMS, 100115, POL723, CONTEMPORARY DEMOCRATIC THEORY 723, S2, , 
2012, EMS, 100115, POL730, INTERNATIONAL RELATIONS THEORY 730, S1, , 
2012, EMS, 100115, POL731, SECURITY STUDIES 731, S1, , 
2012, EMS, 100115, POL801, POLITICAL SC MAGISTER THESIS 801, YR, , 
2012, EMS, 100115, POL802, POLITICAL SC MAGISTER THESIS 802, YR, , 
2012, EMS, 100115, POL803, POLITICAL SCIENCE MINI THESIS 803, YR, , 
2012, EMS, 100115, POL804, POL SC.MINI-THESIS 804, YR, , 
2012, EMS, 100115, POL811, ADVANCED RESEARCH METHODOLOGY 811, S1, , 
2012, EMS, 100115, POL813, COMPARATIVE AREA POLITICS (POL 813), S1, , 
2012, EMS, 100115, POL814, INTER POLITICS ECONOMY (POL 814), S1, , 
2012, EMS, 100115, POL815, POLITICAL VIOLENCE 815, T4, , 
2012, EMS, 100115, POL816, POLITICAL PHILOSOPHY (POL 816), S1, , 
2012, EMS, 100115, POL819, POLITICAL DEVELOPMENT IN SA 819, S1, , 
2012, EMS, 100115, POL822, CONT.DEM.THEORY SOC & DEM(POL 822), S1, , 
2012, EMS, 100115, POL835, CAPITA SELECTA 835, S1, , 
2012, EMS, 100115, POL840, INTERNATIONAL RELATIONS THEORY 840, YR, , 
2012, EMS, 100115, POL841, POLITICAL ECONOMY OF DEVELOPMENT, S2, , 
2012, EMS, 100115, POL842, THEORIES OF CITIZENSHIP & DEMOCRACY, S1, , 
2012, EMS, 100115, POL901, POLITICAL SCIENCE DOCTORATE 901, YR, , 
2012, EMS, 100115, POL902, POLITICAL SCIENCE DOCTORATE 902, YR, , 
2012, ART, 100205, AFN111, AFRIKAANS/NEDERLANDS STUDIES 111(N), S1, , 
2012, ART, 100205, AFN121, AFRIKAANS/NEDERLANDS STUDIES 121(N), S2, , 
2012, ART, 100205, AFR001, INTRODUCTION TO AFRIKAANS (CHS) 001, S1, , 
2012, ART, 100205, AFR002, INTRODUCTION TO AFRIKAANS (SC), YR, , 
2012, ART, 100205, AFR003, INTRODUCTION TO AFRIKAANS (BOH), S1, , 
2012, ART, 100205, AFR004, INTRODUCTION TO AFRIKAANS (CHS) 004, S2, , 
2012, ART, 100205, AFR101, AFRIKAANS LANG ACQUISITION 101, YR, , 
2012, ART, 100205, AFR120, INTRODUCTION TO AFRIKAANS (DENT), S2, , 
2012, ART, 100205, AFR211, AFRIKAANS 211, S1, , 
2012, ART, 100205, AFR212, AFRIKAANS 212, S1, , 
2012, ART, 100205, AFR213, AFRIKAANS 213, S1, , 
2012, ART, 100205, AFR221, AFRIKAANS 221, S2, , 
2012, ART, 100205, AFR222, AFRIKAANS 222, S2, , 
2012, ART, 100205, AFR311, AFRIKAANS 311, S1, , 
2012, ART, 100205, AFR312, AFRIKAANS 312, S1, , 
2012, ART, 100205, AFR313, AFRIKAANS 313, S1, , 
2012, ART, 100205, AFR321, AFRIKAANS 321, S2, , 
2012, ART, 100205, AFR322, AFRIKAANS 322, S2, , 
2012, ART, 100205, AFR323, AFRIKAANS 323, S2, , 
2012, ART, 100205, AFR701, AFRIKAANS 701 : NAVORSINGSOPSTEL, YR, , 
2012, ART, 100205, AFR731, AFRIKAANS 731 : NAVORSINGSMETODIEK, YR, , 
2012, ART, 100205, AFR732, AFRIKAANS 732 : LITERERE TEORIE, S1, , 
2012, ART, 100205, AFR736, AFRIKAANS 736 : AFR. TAALSTRUKTUUR, YR, , 
2012, ART, 100205, AFR737, AFRIKAANS 737 : SEMIOTIEK, YR, , 
2012, ART, 100205, AFR743, AFRIKAANS 743 : SA POËSIE, YR, , 
2012, ART, 100205, AFR744, AFRIKAANS 744 : NARRAT BINNE SA VER, YR, , 
2012, ART, 100205, AFR745, AFRIKAANS 745 : TYDG NEDL LETTERK, S1, , 
2012, ART, 100205, AFR746, AFRIKAANS 746  : HIST NEDL LETTERK, YR, , 
2012, ART, 100205, AFR747, AFRIKAANS 747 : KREATIEWE SKRYFWERK, YR, , 
2012, ART, 100205, AFR801, AFRIKAANS MAGISTER THESIS 801, YR, , 
2012, ART, 100205, AFR802, AFRIKAANS MAGISTER THESIS 802, YR, , 
2012, ART, 100205, AFR901, AFRIKAANS DOCTORAL (1ST ENROLM), YR, , 
2012, ART, 100205, AFR902, AFRIKAANS DOCTORAL (2ND ENROLM), YR, , 
2012, ART, 100205, ALA311, AFRIKAANS LANGUAGE ACQUISITION 311, S1, , 
2012, ART, 100205, ALA312, AFRIKAANS LANGUAGE ACQUISITION 312, S1, , 
2012, ART, 100205, ALA321, AFRIKAANS LANGUAGE ACQUISITION 321, S2, , 
2012, ART, 100205, ALA322, AFRIKAANS LANGUAGE ACQUISITION 322, S2, , 
2012, ART, 100207, ANT111, ANTHROPOLOGY/SOCIOLOGY 111 (N), S1, , 
2012, ART, 100207, ANT121, ANTHROPOLOGY/SOCIOLOGY 121 (N), S2, , 
2012, ART, 100207, ANT211, ANTHROPOLOGY 211, S1, , 
2012, ART, 100207, ANT212, ANTHROPOLOGY 212, S1, , 
2012, ART, 100207, ANT221, ANTHROPOLOGY 221, S2, , 
2012, ART, 100207, ANT222, ANTHROPOLOGY 222, S2, , 
2012, ART, 100207, ANT311, ANTHROPOLOGY 311, S1, , 
2012, ART, 100207, ANT312, ANTHROPOLOGY 312, S1, , 
2012, ART, 100207, ANT321, ANTHROPOLOGY 321, S2, , 
2012, ART, 100207, ANT322, ANTHROPOLOGY 322, S2, , 
2012, ART, 100207, ANT731, SOC/ANTH 731 : CONT ANTHRO THEORY, S1, , 
2012, ART, 100207, ANT732, SOC/ANTH 732 : ANTHRO EXPER H&M PER, S1, , 
2012, ART, 100207, ANT733, ANTH 733 : SEL THEM CONT ANTH A, S2, , 
2012, ART, 100207, ANT734, ANTH 734 : SEL THEM CONT ANTH B, S2, , 
2012, ART, 100207, ANT742, ANTH 742 : HEALTH & MED ANTHRO, S2, , 
2012, ART, 100207, ANT801, ANTHROPOLOGY MAG THES (1ST ENROL), YR, , 
2012, ART, 100207, ANT802, ANTHROPOLOGY MAG THES (2ND & FURTH), YR, , 
2012, ART, 100207, ANT803, ANTH: MINI THESIS 803, YR, , 
2012, ART, 100207, ANT804, ANTH: MINI THESIS 804, YR, , 
2012, ART, 100207, ANT831, ADV ANTHROPOLOGY THEORY 831, S1, , 
2012, ART, 100207, ANT832, ANTHROPOLOGY M.A. 832, S1, , 
2012, ART, 100207, ANT833, ANTHROPOLOGY M.A. 833, S1, , 
2012, ART, 100207, ANT834, ADV METHOD & PHIL OF S/SC (MA) 834, S1, , 
2012, ART, 100207, ANT847, HEALTH & MEDICAL ANTHROPOLOGY 847, YR, , 
2012, ART, 100207, ANT851, ANTH 851 : SELECTED THEMES, YR, , 
2012, ART, 100207, ANT901, ANTHROPOLOGY (DOCTORAL)(1ST ENROLM), YR, , 
2012, ART, 100207, ANT902, ANTHROPOLOGY (DOCTORAL)(2ND ENROLM), YR, , 
2012, ART, 100207, ART900, POST DOCTORAL RESEARCH FELLOWS, YR, , 
2012, ART, 100207, SOC211, SOCIOLOGY 211, S1, , 
2012, ART, 100207, SOC221, SOCIOLOGY 221, S2, , 
2012, ART, 100207, SOC231, SOCIOLOGY 231, S1, , 
2012, ART, 100207, SOC232, SOCIOLOGY 232, S2, , 
2012, ART, 100207, SOC311, SOCIOLOGY 311, S1, , 
2012, ART, 100207, SOC312, SOCIOLOGY 312, S1, , 
2012, ART, 100207, SOC321, SOCIOLOGY 321, S2, , 
2012, ART, 100207, SOC322, SOCIOLOGY 322, S2, , 
2012, ART, 100207, SOC701, SOC/ANTH 701 : RESEARCH PROJECT, YR, , 
2012, ART, 100207, SOC736, SOC/ANTH 736 : CONTEMP SOC THEORY, S1, , 
2012, ART, 100207, SOC737, SOC/ANTH 737 : SOCIO EXPER H&M PER, S1, , 
2012, ART, 100207, SOC738, SOC ANTH 738 : SEL THEM CONT SOC A, S2, , 
2012, ART, 100207, SOC739, SOC/ANTH 739 : SEL THEM CONT SOC B, S2, , 
2012, ART, 100207, SOC743, SOC/ANTH 743 : CAPITA SELECTA, S2, , 
2012, ART, 100207, SOC801, SOCIOLOGY MAG THESIS 801, YR, , 
2012, ART, 100207, SOC802, SOCIOLOGY MAG THESIS 802, YR, , 
2012, ART, 100207, SOC803, SOC/ANTH: MINI THESIS 803, YR, , 
2012, ART, 100207, SOC804, SOC/ANTH: MINI THESIS 804, YR, , 
2012, ART, 100207, SOC833, SOCIOLOGY/ANTHROPOLOGY M.A. 833, S1, , 
2012, ART, 100207, SOC834, ADV METHOD & PHIL OF S/SC (MA) 834, S1, , 
2012, ART, 100207, SOC836, SOCIOLOGY/ANTHROPOLOGY M.A. 836, S1, , 
2012, ART, 100207, SOC837, SOCIOLOGY/ANTHROPOLOGY M.A. 837, S1, , 
2012, ART, 100207, SOC838, MEDICINE & HEALTH IN AFR (MAG) 838, S2, , 
2012, ART, 100207, SOC839, SOCIOLOGY/ANTHROPOLOGY M.A. 839, S2, , 
2012, ART, 100207, SOC842, SOCIOLOGY/ANTHROPOLOGY M.A. 842, S2, , 
2012, ART, 100207, SOC843, SOCIOLOGY/ANTHROPOLOGY M.A. 843, S2, , 
2012, ART, 100207, SOC845, SOC/ANTH 845 : CAPITA SELECTA, YR, , 
2012, ART, 100207, SOC847, HEALTH & MEDICAL ANTHROPOLOGY 847, YR, , 
2012, ART, 100207, SOC850, SOC/ANTH 850 : SEL THEMES ANTHRO A, YR, , 
2012, ART, 100207, SOC851, SOC/ANTH 851 : SEL THEMES IN SOC A, YR, , 
2012, ART, 100207, SOC852, SOC/ANTH 852 : SEL THEMES IN SOC A, YR, , 
2012, ART, 100207, SOC853, SOC/ANTH 853 : SEL THEMES IN SOC B, YR, , 
2012, ART, 100207, SOC901, SOCIOLOGY DOCTORAL 901, YR, , 
2012, ART, 100207, SOC902, SOCIOLOGY DOCTORAL 902, YR, , 
2012, ART, 100209, ARA101, ARABIC 101, YR, , 
2012, ART, 100209, ARA211, ARABIC 211, S1, , 
2012, ART, 100209, ARA212, ARABIC 212, S1, , 
2012, ART, 100209, ARA221, ARABIC 221, S2, , 
2012, ART, 100209, ARA222, ARABIC 222, S2, , 
2012, ART, 100209, ARA311, ARABIC 311, S1, , 
2012, ART, 100209, ARA312, ARABIC 312, S1, , 
2012, ART, 100209, ARA321, ARABIC 321, S2, , 
2012, ART, 100209, ARA322, ARABIC 322, S2, , 
2012, ART, 100209, ARA701, ARABIC 701 : RESEARCH ESSAY, YR, , 
